keyword,rank,listing_type,product_name,price,mrp,discount_percent,stock_status,url
ceramide moisturizer,1,Sponsored,Re'equil CERAMIDE & HYALURONIC ACID MOISTURISER FOR NOR...,280.0,295.0,5% off,In Stock,https://www.flipkart.com/re-equil-ceramide-hyaluronic-acid-moisturiser-normal-dry-skin/p/itm59d63c30360f0?pid=MSCFNFDZGPSFEBHS&lid=LSTMSCFNFDZGPSFEBHSRMITVS&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_1&otracker=search&fm=organic&iid=en_JpoDqqwKOsQuO4PIk-XGBNLyAHuP9Tiw-0ZnRhgnlt469TuMxHokjYQBIpssKxm9Pp7pXQOfSvyCZ3uxeX8YYA%3D%3D&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,2,Sponsored,"The Face Shop Rice & Ceramide Moisturizing Emulsion,tha...",940.0,990.0,5% off,In Stock,https://www.flipkart.com/face-shop-rice-ceramide-moisturizing-emulsion-that-locks-skin-moisture-12hr/p/itmf3ddfe017afe0?pid=MSCFEV8EGHRK3RFU&lid=LSTMSCFEV8EGHRK3RFUXPKDVT&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_2&otracker=search&fm=organic&iid=en_JpoDqqwKOsQuO4PIk-XGBNLyAHuP9Tiw-0ZnRhgnlt6NEXgrXtJVICjcDyu_FqZTs7GIOC83FwusAcHMnpsyG_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,3,Organic,Dr. Sheth's Ceramide & Vitamin C Oil-free Moisturizer |...,251.0,349.0,28% off,In Stock,https://www.flipkart.com/dr-sheth-s-ceramide-vitamin-c-oil-free-moisturizer-light-face-cream-hydrate-skin-50g/p/itm4dd25d1e22654?pid=MSCGHU9GCGRSV3CV&lid=LSTMSCGHU9GCGRSV3CVWBM1F0&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_3&otracker=search&fm=organic&iid=ab6369ee-6d8f-4154-851d-2c21f4ee83d0.MSCGHU9GCGRSV3CV.SEARCH&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,4,Organic,Pilgrim 5 Ceramides Moisturizer with CICA for Barrier R...,370.0,395.0,6% off,In Stock,https://www.flipkart.com/pilgrim-5-ceramides-moisturizer-cica-barrier-repair-hydration/p/itmb0addcc9bd2fc?pid=MSCH5NF4UNTJFMSF&lid=LSTMSCH5NF4UNTJFMSFDTINKQ&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_4&otracker=search&fm=organic&iid=ab6369ee-6d8f-4154-851d-2c21f4ee83d0.MSCH5NF4UNTJFMSF.SEARCH&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,5,Organic,The Derma Co 4% Ceramide Barrier Repair Moisturizer wit...,359.0,399.0,10% off,In Stock,https://www.flipkart.com/derma-co-4-ceramide-barrier-repair-moisturizer-with-niacinamide-oxylance/p/itm96c7db6e4565e?pid=MSCH4FY58DRTSWGP&lid=LSTMSCH4FY58DRTSWGP76X8SH&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_5&otracker=search&fm=organic&iid=ab6369ee-6d8f-4154-851d-2c21f4ee83d0.MSCH4FY58DRTSWGP.SEARCH&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,6,Sponsored,"Skineka Barrier Repair Moisturizer With Ceramide 1,3,6,...",538.0,699.0,23% off,In Stock,https://www.flipkart.com/skineka-barrier-repair-moisturizer-ceramide-1-3-6-hyaluronic-acid-cica/p/itm69b8853a383ec?pid=MSCH4GZGJAZZYDZ8&lid=LSTMSCH4GZGJAZZYDZ8UZDQA3&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_6&otracker=search&fm=organic&iid=en_JpoDqqwKOsQuO4PIk-XGBNLyAHuP9Tiw-0ZnRhgnlt7Cq2chks0jSdjaWvUM_ek3enbrbCZDAQeqjteBw5ExpvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,7,Organic,Sotrue Daily Cera-Calm Moisturizer Gel for Smooth SkinL...,229.0,299.0,23% off,In Stock,https://www.flipkart.com/sotrue-daily-cera-calm-moisturizer-gel-smooth-skinlightweight-oil-free-100g/p/itmc5c45a784e048?pid=MSCGVFRDV6HNK4H9&lid=LSTMSCGVFRDV6HNK4H9FCUIA8&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_7&otracker=search&fm=organic&iid=ab6369ee-6d8f-4154-851d-2c21f4ee83d0.MSCGVFRDV6HNK4H9.SEARCH&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,8,Organic,Pilgrim 5 Ceramides Barrier Repair Moisturizer Lightwei...,513.0,790.0,35% off,In Stock,https://www.flipkart.com/pilgrim-5-ceramides-barrier-repair-moisturizer-lightweight-non-sticky-pack-2/p/itm9c4a1825e88fb?pid=MSCH7E7YPMCXHUUZ&lid=LSTMSCH7E7YPMCXHUUZRBAOXW&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_8&otracker=search&fm=organic&iid=ab6369ee-6d8f-4154-851d-2c21f4ee83d0.MSCH7E7YPMCXHUUZ.SEARCH&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,9,Organic,Pilgrim 5 Ceramides Barrier Repair Moisturizer Pack of ...,770.0,1185.0,35% off,In Stock,https://www.flipkart.com/pilgrim-5-ceramides-barrier-repair-moisturizer-pack-3/p/itm066694065d204?pid=MSCH7E8YRAAHSX6R&lid=LSTMSCH7E8YRAAHSX6RNIHZBU&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_9&otracker=search&fm=organic&iid=ab6369ee-6d8f-4154-851d-2c21f4ee83d0.MSCH7E8YRAAHSX6R.SEARCH&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
ceramide moisturizer,10,Organic,Plum 1% Ceramide & Oat Barrier Love Face Moisturizer Cr...,339.0,399.0,15% off,In Stock,https://www.flipkart.com/plum-1-ceramide-oat-barrier-love-face-moisturizer-cream-strengthens-nourishes/p/itm7293b22b46119?pid=MSCH3Z3VXMFGBBBN&lid=LSTMSCH3Z3VXMFGBBBNHH54IQ&marketplace=FLIPKART&q=ceramide+moisturizer&store=search.flipkart.com&srno=s_1_10&otracker=search&fm=organic&iid=ab6369ee-6d8f-4154-851d-2c21f4ee83d0.MSCH3Z3VXMFGBBBN.SEARCH&ppt=None&ppn=None&ssid=b0skzfy6kg0000001752813141697&qH=15f1a434c5864f73
